id,links
F1,""
F2,"UC5"
F3,"UC5"
F4,"UC5"
F5,"UC5"
F6,"UC5"
F7,"UC5"
F8,"UC8, UC11, UC13, UC14, UC15, UC16, UC21, UC22"
F9,"UC4"
F10,"UC4"
F11,"UC18"
F12,"UC15"
F13,"UC8"
F14,"UC15"
F15,"UC13"
F16,"UC15"
F17,"UC10"
F18,"UC17"
F19,"UC4"
F20,"UC19"
F21,"UC23"
F22,"UC3"
F23,"UC22, UC23"
F24,"UC12"
F25,"UC15"
F26,"UC3"
F27,"UC21"
F28,"UC4"
F29,"UC21"
F30,"UC17"
F31,"UC11"
F32,"UC7"
F33,"UC7"
F34,"UC8, UC13"
F35,"UC15"
F36,"UC15"
F37,""
F38,"UC4"
F39,"UC19"
F40,"UC3"
F41,"UC23"
F42,"UC12"
F43,"UC15"
F44,"UC23"
F45,"UC21"
F46,""
F47,"UC1"
F48,"UC1"
F49,"UC1"
F50,"UC1"
F51,"UC1"
F52,"UC1"
F53,"UC1"
F54,"UC1"
F55,"UC1"
F56,"UC1"
F57,"UC1"
F58,"UC20"
F59,"UC4"
F60,"UC1"
F61,"UC1"
F62,"UC15"
F63,"UC9"
F64,"UC9"
F65,"UC7"
F66,"UC7"
F67,"UC10"
F68,"UC7"
F69,"UC7"
F70,"UC7"
F71,"UC9"
F72,"UC7"
F73,"UC7"
F74,"UC7"
F75,"UC7"
F76,"UC7"
F77,"UC9"
F78,"UC17"
F79,"UC9, UC17"
F80,"UC9, UC17"